SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_FLII,mean_pest_record_probability,obs_occurrence,mean_sampling_effort,mean_carbon_percentile,IUCN_group,governance_group,ISO3,country
4327,56,0.338930712276494,9.61118603828775,0.0063434442812206,0,1.62708681493683,0.328311840673501,Not reported,Not reported,COD,Congo - Kinshasa
4652,5,0.0128911520896184,8.91340398369419,0.0675214101942433,0,5.00929115234561,0.49162988529458,II,Shared governance,MOZ,Mozambique
4840,12,0.0497542657413447,7.49356734501244,0.867089980873781,0,8.56562781154194,0.966871720088021,V,Government,ESP,Spain
4904,28,0.206825267586083,7.57972426029292,0.109921803368138,0,6.32211219334662,0.53698930100256,II,Government,BRA,Brazil
5000,9,0.0485213480803357,9.23043376158668,0.291152318680616,0,6.48089524471275,0.697091401065686,Not reported,Not reported,AUS,Australia
5005,101,0.497145552972551,9.49668003919411,0.00328374792528516,0,0.877156384334471,0.412201230012866,Not reported,Not reported,TZA,Tanzania
5066,9,0.0566619005204264,9.07802356171369,0.127527878812967,0,5.16139636449124,0.564610049940753,II,Government,BTN,Bhutan
5081,13,0.0298635453250546,8.07677444695752,0.00601647428741488,0,0.70460941248742,0.695264901337331,II,Not reported,AGO,Angola
5083,14,0.114442310047576,4.57702891755638,0.186762460665726,0,8.52748267688088,0.760159302848111,Not reported,Not reported,CRI,Costa Rica
5118,12,0.0727006705294325,8.99140696414605,0.0573027514893846,0,2.96678281028436,0.734357365388535,II,Government,THA,Thailand
5126,28,0.272238676689613,9.61579591251633,0.00121305636183887,0,0.433085218357055,0.454592926433807,Ia,Government,BRA,Brazil
5188,7,0.0167552126446145,9.66242067371699,0.0201928008217746,0,2.01142896372929,0.343886009486585,Not reported,Government,CIV,Côte d’Ivoire
5196,71,0.438503780850066,7.36529840071977,0.110453420630753,0,4.48928628404923,0.984749247490528,Not reported,Not reported,CHL,Chile
5394,9,0.0521246998776255,8.83790902878128,0.716181677878609,0,8.44606438283592,0.190324506908325,II,Government,MEX,Mexico
6010,7,0.0313221930465196,5.72787612431574,0.334352244979538,0,6.19901839996389,0.46400361468493,IV,Government,ITA,Italy
6258,9,0.0461222493287195,2.67238637921412,0.886760607922943,0,8.82444280862595,0.562991901947197,V,Government,FRA,France
6259,5,0.012477960574328,3.98329706514949,0.869314254909523,0,8.7357224519021,0.418075129574144,V,Government,FRA,France
6260,16,0.0594450903254803,2.41314243058131,0.780043328204282,0,10.0769661438447,0.758118936673256,V,Government,FRA,France
6307,7,0.0282493494035624,4.88285236207635,0.873543612030343,0,9.07541188170082,0.285023077332827,V,Government,FRA,France
6308,19,0.0545725977727341,2.44996541051462,0.792608393447829,0,10.4103103797228,0.900514913762866,V,Government,FRA,France
6313,6,0.0289830283307419,4.68521653280118,0.692306769718285,0,10.5008436204162,0.741392499665065,V,Government,FRA,France
6927,5,0.0178756921248586,4.88678699151523,0.471771830200273,0,7.78061440032563,0.589485798751907,V,Government,SWE,Sweden
6956,12,0.0344388715320149,9.41424456972849,0.0704170234216976,0,6.34503260187673,0.56345646933828,Not reported,Not reported,BEN,Benin
7403,5,0.0162665134862305,7.30724710335185,0.00269063434264337,0,0.261112580761787,0.462711695448191,IV,Government,ETH,Ethiopia
7409,12,0.0848260854126598,9.56276789354102,0.0211229240300787,0,3.73327999826054,0.197307449661336,Not reported,Government,LBR,Liberia
7417,5,0.0210930324999955,8.51254874649413,0.0307229234079541,0,1.88672864424566,0.599202503582761,II,Not reported,SLE,Sierra Leone
7425,116,1.36520947460378,9.84453513158393,0.00341755566168691,0,1.30119284462388,0.0666268472692182,Not reported,Not reported,COG,Congo - Brazzaville
7438,5,0.0167830458001509,9.74742282344311,0.00405955691069838,0,1.12194443463278,0.246696133815694,IV,Government,TZA,Tanzania
7461,20,0.184890407997302,9.35422505301184,0.00429640808017495,0,0.841356961175516,0.306672468189236,II,Government,PER,Peru
7465,8,0.0382088436634598,6.45495886616088,0.073236459264382,0,3.842810087684,0.362544399733936,Not reported,Government,NGA,Nigeria
7521,6,0.033566510452623,9.40203625236722,0.0212168091359555,0,2.77831575360669,0.276623501845624,II,Government,TZA,Tanzania
7873,31,0.144981442457032,9.5583321054833,0.00813795939469613,0,0.913000595203806,0.375779904263619,II,Government,NGA,Nigeria
7912,10,0.0836707527888587,9.61094835113218,0.0608512269109755,0,7.25888482391741,0.379590349992361,II,Government,ECU,Ecuador
7938,10,0.0340003330523291,6.82225040506302,0.00712370275979021,0,0.606082462331354,0.170835644716153,IV,Government,MOZ,Mozambique
7962,19,0.0556667101201969,9.10880640311957,0.00587121572566446,0,0.320774943585973,0.545786207518013,II,Government,ZMB,Zambia
7996,9,0.0591022900130569,9.03343420344651,0.051437958216893,0,3.03612245312618,0.625415971721223,II,Government,BTN,Bhutan
8027,9,0.0525645371108918,7.45656586054721,0.0725749666367386,0,3.15853282403264,0.481314992005325,II,Government,MMR,Myanmar (Burma)
8067,22,0.205079652051715,9.27567229934962,0.06401238341131,0,0.863837350136433,0.255937218654911,Ia,Government,IDN,Indonesia
8068,7,0.0783823267369648,9.75166842431977,0.0338740387758433,0,0.79061533260309,0.245998073527115,Ia,Government,IDN,Indonesia
8073,64,0.672057885512151,8.96837484494642,0.0276550332328795,0,0.708142677603582,0.234733558992389,Not reported,Government,IDN,Indonesia
8074,141,1.42952987142306,9.77055982683705,0.0107834715664654,0,0.694660538493479,0.21317473676121,Not reported,Government,IDN,Indonesia
8101,5,0.0411929016745436,9.17590866485775,0.0638993810182596,0,4.00384000101725,0.277641267972371,Ia,Government,IDN,Indonesia
8103,29,0.290364324944473,9.36084551760703,0.0191414502523564,0,1.76793371690253,0.163704140417846,IV,Government,IDN,Indonesia
8104,6,0.0568445091443351,8.95046854493574,0.136400314312154,0,5.83501052022448,0.382889292250441,Ia,Government,IDN,Indonesia
8106,9,0.0922010595523644,9.71142105870089,0.00593411050476415,0,0.0937148477035776,0.0898186053448896,Ia,Government,IDN,Indonesia
8114,5,0.0351514559666795,9.65805690382484,0.0152546164890795,0,2.58831559399176,0.185642487681327,Ia,Government,IDN,Indonesia
8117,9,0.0684851122321115,9.25070379562737,0.0663192510856467,0,2.20430975336871,0.273421906672953,Ia,Government,IDN,Indonesia
8552,6,0.0308719558063295,2.28653404418882,0.0357133055697707,0,2.25753350001169,0.558143908591675,IV,Government,IDN,Indonesia
8673,73,0.771172866456178,9.78555992338961,0.00346448017742087,0,0.85112139325006,0.176268612575535,II,Government,IDN,Indonesia
8795,9,0.0912934417062491,8.81921691523534,0.037373366139976,0,3.98788944408481,0.416770732959113,Ia,Government,MYS,Malaysia
8796,5,0.0314744207792103,6.67903191987414,0.0652203572607248,0,5.18569461542368,0.489251549147251,II,Government,MYS,Malaysia
8810,10,0.10511011048185,7.88356754437385,0.0176030429517322,0,4.20590615527855,0.289161705434474,Ia,Government,MYS,Malaysia
8841,5,0.0433549518533247,7.89645598654583,0.0281191194517159,0,1.24834740029426,0.467720027124181,Ia,Government,IDN,Indonesia
8877,7,0.0538818851833489,8.41458133473647,0.0388316412309762,0,2.27026772943301,0.371729242525128,IV,Government,IDN,Indonesia
8945,5,0.0471198773164255,9.54314265971185,0.0288200711389687,0,3.29735990617381,0.137336419879672,Ia,Government,IDN,Indonesia
8950,11,0.107757092397102,8.48255730083858,0.018579500689985,0,2.15234060462774,0.503703788453817,IV,Government,IDN,Indonesia
8953,5,0.045341557311378,5.61678341352672,0.00802123702785471,0,0.215301010366841,0.562632659989624,IV,Government,IDN,Indonesia
9035,45,0.198753115250638,8.14930407414271,0.00786812103989025,0,1.1575342530461,0.517471742444537,V,Government,MOZ,Mozambique
9170,8,0.0570287372479853,8.78390864875676,0.0358334494259226,0,2.26584788623249,0.569418453259117,Not reported,Government,LBR,Liberia
9171,7,0.0633634494263781,8.94698347812867,0.0226060800699465,0,2.57383890968522,0.417336256195752,Not reported,Government,LBR,Liberia
9301,6,0.0553031121088619,9.5507498760764,0.0185648701288646,0,0.885680140190098,0.31981973128136,Ia,Government,IDN,Indonesia
9400,38,0.413340001007348,9.31832534525551,0.0042425506588892,0,1.5720706648916,0.119893539170028,II,Government,COL,Colombia
9409,10,0.0424711386283302,2.65237206977266,0.7065672212494,0,9.30021449538123,0.311339084507856,V,Government,AUT,Austria
