iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
GUY,1897305.95481925,4789.86620430872,4789.86620430872,0.00252456183576625,0.00252456183576625,276,2,2,1.89730595481925,0.00478986620430872,0.00478986620430872,0.252456183576625,0.252456183576625,Co-operative Republic of Guyana,South America
PAN,1886294.50730241,130255.214637105,130255.214637105,0.0690534877416267,0.0690534877416267,283,31,14,1.88629450730241,0.130255214637105,0.130255214637105,6.90534877416267,6.90534877416267,Republic of Panama,North America
LVA,1826949.29405119,140138.98789673,140138.98789673,0.0767065557610399,0.0767065557610399,583,36,10,1.82694929405119,0.14013898789673,0.14013898789673,7.67065557610399,7.67065557610399,Republic of Latvia,Europe
HRV,1810496.05366678,534235.038037226,534235.038037226,0.29507661005681,0.29507661005681,456,135,80,1.81049605366678,0.534235038037226,0.534235038037226,29.507661005681,29.507661005681,Republic of Croatia,Europe
HUN,1712574.60771562,1102490.4516831,1102490.4516831,0.643761998289634,0.643761998289634,540,296,208,1.71257460771562,1.1024904516831,1.1024904516831,64.3761998289634,64.3761998289634,Republic of Hungary,Europe
KOR,1709733.19724232,1230698.26191761,1230698.26191761,0.719818895663157,0.719818895663157,731,557,413,1.70973319724232,1.23069826191761,1.23069826191761,71.9818895663157,71.9818895663157,Republic of Korea,Asia
PNG,1627910.14151728,93497.6125277828,93497.6125277828,0.0574341360393756,0.0574341360393756,265,19,16,1.62791014151728,0.0934976125277828,0.0934976125277828,5.74341360393756,5.74341360393756,Independent State of Papua New Guinea,Oceania
LTU,1610547.27572649,898647.519173781,898647.519173781,0.557976492039586,0.557976492039586,678,310,183,1.61054727572649,0.898647519173781,0.898647519173781,55.7976492039586,55.7976492039586,Republic of Lithuania,Europe
BTN,1582667.38379217,22540.6751059072,22540.6751059072,0.014242206124131,0.014242206124131,215,6,1,1.58266738379217,0.0225406751059072,0.0225406751059072,1.4242206124131,1.4242206124131,Kingdom of Bhutan,Asia
NPL,1566870.2011503,126019.309972554,126019.309972554,0.0804274086519983,0.0804274086519983,254,23,13,1.5668702011503,0.126019309972554,0.126019309972554,8.04274086519983,8.04274086519983,Nepal,Asia
GEO,1382794.42863846,88590.9840176459,88590.9840176459,0.064066633610084,0.064066633610084,322,18,7,1.38279442863846,0.0885909840176459,0.0885909840176459,6.4066633610084,6.4066633610084,Georgia,Asia
SEN,1372984.38960212,120.225682611691,120.225682611691,8.75652218060044e-05,8.75652218060044e-05,213,1,1,1.37298438960212,0.000120225682611691,0.000120225682611691,0.00875652218060044,0.00875652218060044,Republic of Senegal,Africa
EST,1293265.62812518,501428.257029848,501428.257029848,0.387722557628596,0.387722557628596,626,225,113,1.29326562812518,0.501428257029848,0.501428257029848,38.7722557628596,38.7722557628596,Republic of Estonia,Europe
PRT,1292048.62557397,908279.876209323,908279.876209323,0.702976543011946,0.702976543011946,295,207,171,1.29204862557397,0.908279876209323,0.908279876209323,70.2976543011946,70.2976543011946,Portuguese Republic,Europe
IND,1265593.47634757,206922.795581535,206922.795581535,0.163498626888234,0.163498626888234,279,48,32,1.26559347634757,0.206922795581535,0.206922795581535,16.3498626888234,16.3498626888234,Republic of India,Asia
SRB,1182852.47632027,500315.504271767,500315.504271767,0.42297371336466,0.42297371336466,300,121,77,1.18285247632027,0.500315504271766,0.500315504271766,42.297371336466,42.297371336466,Republic of Serbia,Europe
LBR,993013.355489293,13823.7361146269,13823.7361146269,0.01392099717311,0.01392099717311,170,3,3,0.993013355489293,0.0138237361146269,0.0138237361146269,1.392099717311,1.392099717311,Republic of Liberia,Africa
MLI,983723.203876774,0,0,0,0,197,0,0,0.983723203876774,0,0,0,0,Republic of Mali,Africa
DOM,983386.289814489,223496.110696786,223496.110696786,0.227271940855457,0.227271940855457,235,65,36,0.983386289814489,0.223496110696786,0.223496110696786,22.7271940855457,22.7271940855457,Dominican Republic,North America
