SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,pest_signal,pest_signal_observed_effort,obs_occurrence,record_intensity,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,pest_signal_rank,priority_score,priority_rank,priority_flag
34015,6,558.159745295925,0.343883854509719,191.942124644526,0.00285052551272433,0.00264362210974744,0,0,-58.004171903281,-6.43404628545777,Sai-Cinza,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1989,BRA,1249.48810694996,Other/Not reported,0.446552353155783,0.222911346224006,0.0995415862014532,0.309740970448741,FALSE
34019,12,454.233663449391,0.981166150511157,445.678694999219,0.00378802463156016,0.00433564172861884,0,0,-47.594140169322,-6.11995910957805,Apinayé,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1989,BRA,1417.56768145201,Other/Not reported,0.711054359722729,0.259029551258665,0.184184091719496,0.489237504560379,FALSE
34021,22,633.86703581593,0.880289329001784,557.986387634754,0.00140691696502867,0.00257465157338117,0,0,-47.3991927037935,-8.36502114160946,Kraolandia,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1992,BRA,3058.3676664991,Other/Not reported,0.762860269974462,0.142283838015323,0.108542687081372,0.331995622035753,FALSE
34023,17,697.335137021871,0.951553980652022,663.552025481685,0.00256095977887389,0.00271819968707991,0,0,-48.1171686316889,-9.55528311421481,Xerente,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,1652.2447530707,Other/Not reported,0.801532287486319,0.206858810653046,0.165804015689436,0.454213790587377,FALSE
34026,14,1489.84635639025,0.29598196985586,440.967659346962,0.00160173411518998,0.00207335429754555,0,0,-64.3573088122501,-12.0112290016898,Reserva Extrativista Rio Cautário,Extractive Reserve,National,VI,Sub-national ministry or agency,Designated,1995,BRA,1486.93630570842,VI,0.708865377599416,0.155052900401313,0.109911632790862,0.336008755928493,FALSE
34030,9,817.299535689165,0.45545084934856,372.239767701814,0.00169856688542138,0.00217386867240095,0,0,-65.018643677791,-10.5184199592262,Igarapé Lage,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1981,BRA,1073.23035832315,Other/Not reported,0.659248449470996,0.162349507479022,0.107028661077925,0.326523166727472,FALSE
34031,13,1413.85199847942,0.429540044470629,607.306050301736,0.00101536542642181,0.000865660575803548,0,0,-61.6407463235791,-10.5099632628575,Igarapé Lourdes,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2002,BRA,1962.87677055245,Other/Not reported,0.779642466253192,0.103976650857351,0.0810646125071725,0.263042685151405,FALSE
34033,8,781.89280973025,0.305972882986717,239.237997179749,0.00119946296131526,0.00105295563456359,0,0,-64.5378671864881,-10.060828129921,Karipuna,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1999,BRA,1530.06996498945,Other/Not reported,0.523531557825611,0.12331265961328,0.0645580687869597,0.216344399854068,FALSE
34034,6,639.230326338159,0.25776906054393,164.773800691377,0.0018591060256802,0.00399509420468702,0,0,-64.0510255989508,-9.30721264900048,Karitiana,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2002,BRA,897.223442191133,Other/Not reported,0.395111273257935,0.171470266326158,0.0677498352540057,0.227654140824517,FALSE
34036,7,781.981979236682,0.39729846014874,310.680236214798,0.000888485503794052,0.000791721926636286,0,0,-61.7532134043733,-12.6205786169318,Rio Mequens,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1997,BRA,1077.7302754625,Other/Not reported,0.607077708865378,0.0853703028091937,0.0518264078345488,0.183509668004378,FALSE
